yorum,duygu
düşünmeden alın 4 yıldır kullanıyorum çok memnun kaldım bugün annemede aldım...,positive
Kaç tane oskar alacak merak ediyorum... kusursuz bir film 10/10,positive
Ürün elime geçti. Kullanma klavuzu yetersiz kalıyor. Kurulumu kendi tecrübelerimden faydalanarak gerçekleştirebildim. Çekim gücü fiyatına göre gayet iyi. siteye teşekkürler,negative
Ya bi sktir sonradan görme varoş köpek,negative
gerçekten özellikleri çok yüksek bir telefon.,positive
"bence mükemmel,ilk işe başladığınızda hemen ısınması, yeterli ısıya gelince",positive
günün teklifi olarak geçmektedir ama piyasada zaten bu fiyata satılmaktadır.,negative
orjinal ürün ve cok hizli geldi . en ucuz da burada. daha ne düşünüyorsunuz,positive
hiç beklediğim gibi olmadı iade edecem bence başka bir marka tercih edebilirsiniz,negative
urun cok kotu 2 gunde yunlendi. hic tavsiye etmem gereksiz yere paranizi harcarsiniz,negative
kargo hızı ve geri iade kabulu için hb teşekkür ediyorum. fakat ürünü telefonumda kullandığım şarj aletimle şarj ettim ve şuan orjinal şarj aletim kullanılamaz halde tavsiye etmiyorum kesinlikle,negative
"izlediğim vakti boşa hacadığımı düşünüorum, o kadar kötüydü malesef...",negative
ürün yazılan gibi degil çok çavuk ısınıyor fazla ömrü olmaz yanar,negative
bu fiyata bu ürünün olacağını düşünmüyordum. eski modelini kullanıyordum bunu alınca anladım ki belli bir süre sonra şarjı da zayıflıyormuş.,positive
"çok uzun süredir araştırıyordum ve yine hepsiburada en öne geçti fiyat ve teslimat olarak,",positive
"yapılan yorumlar gerçekten doğru, ürün kaliteli fakat baş kısmı çok terletiyor, bir de ilk geldiğinde bayağı kokuyordu şimdi azaldı, genel olarak güzel, yatma pozisyonu da iyi, verdiğim paraya acımıyorum karşılığını veriyor. almak isteyenlere tavsiye ederim.",positive
oldukça iyi tavsiye ederim,positive
herkese tavsiye ederim avizeye ufak bi modifiye yaparak yukarı bakacak sekildede ayarlayabiliyorsunuz ve yukarı bakacak sekılde ayarlarsanız ısık gozunuzu rahatsız etmıyor tavsıye ederim hepsi buradaya tesekkur edıyorum.,positive
"daha önce okey hisset ve rötar kullandım, onlar daha iyi performans sağlıyordu, ama buda fiyatına göre fena sayılmaz, yinede tavsiye edilebilir...",negative
çok iyi ürün hiç bir sıkıntı yaratmadı 2 ay ünce aldım  iki çocuğum icin biri 6 biri 4 yaşında ikisi de biniyor alacak arkadaşlara tavsiye ederim,positive
ya bence çok komik bi filmdi izlerken korkmadım aksine gülme krizlerine girdim,negative
düşünülecek tarafı yok,positive
İlk filme bak buna bak ilk filmin adını kırletmış sadece bence izlemeyın...,negative
"Olumlu yönleri: Olumlu bir taraf göremedim maalesef satıcıya teşekkürler  Olumsuz yönleri: Bıçağı çok adi,ilk kullanımda dişler eridi,motor kısmı cama sabit otumadığı için birşey öğütmek resmen işkenceye dönüşüyor.Paranız çöpe gider...",negative
Çok kötü boşuna 3D ye bide para verdik berbat vakti bol olan izlesin.,negative
urun aldik ama primanin eski kalitesi yok sabahlari bebegimiz uyandigimda alti  kiyafetleri islak bir sekilde buluyoruz primanin buna acil olarak bir cozum bulmasi gerekiyor,negative
elime çok çabuk gecti,positive
bugune kadar boşuna fırça sürmüşüz dişimize cok iyi ancak 2 dk.sonra durmuyor ve şarz göstergesi olsa süper olurmuş,positive
"eşimin söylediğine göre pamuk azmış içinde çabuk doluyormuş ve pamuklar eşit dağıtılmamış beze kimi yerde fazla kimi yerde azmış.pamukta topaklanmalar ve yer yer kıymığa benzer tene  batan şeyler varmış.2 paket almıştım prima kalitesinde diye lakin yanılmışız primayla uzaktan yakından alakası yok gerçi ismi  pampers.tavisye etmiyorum ,alacaksanız prima ismi taşıyan ürünü alın.",negative
bence çok kötü bir filmdi bende bitsede gitsem diyenlerdendım kendi skeçleri daha güzel öyle birşey bekliyordum ama çok sıkıcıydı,negative
peşin alımlara göre pahalı gelebilir ama taksit seçeneğiyle 12 ay vadeli alınca çok fazla kâr yapılıyor ayrıca 2 gün içinde elime ulaştı,positive
mükemmel teşekkür ederim,positive
kayma veya patinaj yapmıyor.,positive
hafif bir film. televizyon filmi. sinematik bakımdan bir çok eksiği var.arkadaşlar neyini beğendiniz bu filmin.,negative
"bu fırçayı alalı 10 ay kadar oldu.  gerçekten çok memnun kaldım. saça çok güzel şekil veriyor, dolgun ve parlak yapıyor ; üstelik  çok kısa bir sürede.",positive
daha iyi ve sık işlene bilirdi. 10/3,negative
Facebookta paylaştım zaten. Genel olarak memnun kaldım. Yemekleri tavsiye ederim. Çalışanlarla güzel bir arkadaşlıklarımız oldu. Kalite ücret dengesi yüzünden tavsiye ederim.,positive
filmin başı sıkıcı.. orası idare edr sonu berbat ..ama verdigi mesaj mantıkıı bence filmi yapanlar filmin sürükleyiciligine önem vermeyip mesaja önem vermişler.. film sıfır mesaj bir;),negative
Bekelemezdim böylesini kötü kötü kötü..... Diyecek başkada birşey yok.Sırf aksiyon olsun diyede izlenecek bir film değil.,negative
okumak istediğim bir kitaptı. bu fiyatta bulunca kaçırmadım.,positive
Çok sıkıcı bir filmdi.Film izlerken bu kadar sıkıldığımı uzun süredir hatırlamıyorum.Filmin başından sonuna kadar İnsanlık ırkına eleştiri yapılıyor.Anlamsız ilişkiler seyirciye sunuluyor.Yönetmen sanırım &quot;A Clockwork Orange&quot; filmindeki anlatım tarzını örnek almış.Ama o filmle kıyaslanamayacak derecede kötü iş çıkartmış. 6/10,negative
"Filmin vizyona girdiği tarih eski olsa da, kadrosundaki Ryan Reynolds, Ray Liotta, Ben Affleck, Andy Garcia gibi isimler (fazla isim yazdığımın farkındayım ama herhangi birini atlamaya kıyamadım) sayesinde filmin kalitesi izlemeden bile hissediliyor.",positive
ertesi gun soylendigi gibi elime ulasti. kablonun uçlari fotograftakinin aksine altin olmasi guzel oldu,positive
herseyiyle yerlerde surunen bir macera. Hicbirseyi ciddiye almaniza gerek yok cunku ciddi bir sey yok ortada. Arnold&#39;in unutulmasi gerekilen filmlerinden biri. Ayrica patlamalarda dublorlerin firlatildigi rampalarin gorunmesinden tutun da surusuyle cekim hatasinin oldugu bir film...(3/10),negative
"şişkoya çelik olsa dayanmıyor, bu kaliteli görünüyor. umarım bozulmaz.",positive
tedarikçi firmaya göndermiş olduğu hediye için teşekkür ederim.ürün sorunsuz ve hızlı bir şekilde elime ulaştı.,positive
Denizi çok güzeldi. Bundan bahsederim.,positive
alelade bir diyet kitabı değildir.,positive
ürünü kargo firmasından gidip kendim almak zorunda kaldım ürün kutusunun üstü acıktı eve geldim kurulumunu yaptım fakat buhar vermiyor vantilatör kismi fena değil bekledigim gibi çıkmadı,negative
super bi makina bu paraya,positive
ürünü alacak arkadaşlara kesinlikle tavsiye ederim.çok hoş kalıcı bir kokusu var tabi tene göre farklılık gösterir.ürün çok başarılı.kısaca armani farkı...,positive
daha önce remigton pg400 kullanmıştım. ona göre malzeme kalitesi bıçak kalitesi şarj süresi gerçekten kötü. şarjda iken kesim yapmıyor. dolmasını beklemeniz gerekiyor. paranıza kıyın daha iyi birsey alin.,negative
bu fiyata kaçırılmayacak bir ürün.,positive
güzel bir  boya saçlarım eski doğallığına geri döndü. kendinizin uygulayabilmesi özellikle çok güzel bir özellik. tavsiye ediyorum. denerseniz neticeyi görürsünüz.,negative
kargo süresi biraz uzun sürdü ama ürün harika ayrica paketlemeye gösterdikleri özen için teşekkürler.,positive
bu fiyata bu ürünler harika,positive
Bence bu filmi izlemeen önce A Moment to Remember adlı filmi izleyin. Hiç olmazsa orjinali. Konusunun 1 e1 aynı olması bir yana replikler bile aynı. Filmde güzel olan tek şey Fahriye Evcenin söylediği şarkı çok hoşuma gitti. Onuda diğer filmin arka planında çalarsanız . Türk usulü Kore filmi izlemiş olursunuz :)))),negative
Ah Beşiktaş ah..,positive
muhteşem bi film gerçekten. bırakın kendinizi film e zamanın nasıl geçtigini bile anlamayacaksınız....,positive
"i̇phone 6s kullanıyorum, boyutu 6s'den daha büyük ayrıca ilk şarjda 18-19 saatte doldu diyebilirim. yani 20.000mah. olduguna bakmayın onu doldurmasıda ayrı bir dert yanınızda taşıması apayrı bi dert. hata ettim diyebilirim daha önce asus 10500mah vardı çok memnundum taşıması şarj süresi iyiydi arkadaşlar. ben açıkcası önermiyorum ve tavsiye etmem pişmanda oldum ama iş işten geçti.",negative
diş teli kullandığım için aradığım ve karşıma çıkan kullanışlı ve kaliteli bir ürün ortodontik tedavi görenler anlar faydasını,positive
bi film bu kadar sıkıcı olabilir,negative
"çok büyük hayal kirikligina ugradim , bazi efektler güzel sayilabilir ama oyuncularin performanslari iyi degil",negative
kitap çok güzel. hızlı gönderi. teşekkürler.,positive
"ürünü aldıktan 2 gün sonra eve getirdiler, çamaşır makinesini kullandım 1 hafta fiyatına göre gayet kaliteli ve konforlu. hepsiburada.com teşekkürler.",positive
kargo hızlı ve mağazaya da ilgisi için teşekkürler,positive
Ya bir sktir git lafa bak iticiymiş ulan siz mi belirliyorsunuz millet ne giyecek biri şortluya tekme atar diğeri kapalıya itici der Bir de karını diğer soytarı ile kıyaslıyor boş konuşmak ne kadar kolay,negative
üzerindeki logosu yeter.,positive
"kahve öğütme ayarı çok olmasına rağmen türk kahvesi inceliğine ulaşamıyor, diğer basit öğütücüler gibi tuz veya baharat çekmek te mümkün değil. kısacası aldığım delonghi ürünlerinden hep memnum kalmama rağmen bu ürün hiç bir işime yaramiyor....",negative
"bu ürünü arabamda kullandım fakat sadece saç teli kalınlığında olan, derin olmayan çizikleri gideriyor. beklentimi karşılamadı kalın çizikler hala duruyor",negative
michael ceranın tek kötü filmi.,negative
herkeze tavsiye ederim kullanımı kolay kalitesi mükemmel,positive
ürünü ücretsiz kargo ve hediye çeki ile aldım. başka bir marka kullanınca hemen finish farkı görülebilir. ancak biraz daha fazla ödeyip quantum modellisini almak daha iyi olur.,positive
ürün bir günde elime ulaştı. ayrıca ürün de kaliteli. dışarıdan yüksek fiyatlı almaktansa hepsi burada dan almak çok avantajlı. teşekkürler,positive
ben izleyeli yaklaşık 1 ay falan oluyo ama konu diye bişe yok ben hiç beğenmedim verilen oscara yazık,negative
iki şehirden nefret ediyorum biri izmir diğeri de balıkesir atom bombası olsa bu iki ile atarım djkd,negative
Çok güzel bir film. Kesinlikle izlenmesi gerek. Japonlara biraz yüklenmişler ama o kadar da olur. Sahneleri ve filmin akıcılığı oldukça iyiydi.,positive
verilen parayi son kurusuna kadar hakeden bir urun,positive
ürün kaliteli ve hızlı alacak olan arkdaşlara hayırlı olsun...,positive
ürün hızlı bir şekilde teslim edildi. ayrıca iyi fiyat için teşekkürler.,positive
Sokım ona sana birşey olmasın,negative
sıfır maliyetle ancak bu kadar film yapılırdı.filmde o kadar çok hata var ki saymakla bitmez.laptop parçalama sahnesi bile gerçek değildi.3 bile çok bence,negative
"hepsiburadaya hızından, kalitesinden dolayı teşekkürler.",negative
"ilkindeki esprilerin aynılarını almaları çok kötü olmuş.birincisi çok iyiydi,ikincisi kopyası olduğu için hayalkırıklığı.",negative
bu klavyeyi rahat bir kullanım için tercih ettim. i̇stediğim zaman kucağıma alıp kullanabiliyorum.fazla yer kaplamıyor zaten.ama sessiz tuş demelerine rağmen tuşlardan baya ses geliyor.ürün 1. kalite bunu da belirteyim.,positive
"çiftliğimde 4 köpeğim, 3 kedim, 8 tavuğum var, hepsi severek yiyor. bir senedir bu markayı alıyorum çok memnunum.",positive
ürün orjinal ve gerçekten fiyat performans ürünüdür tavsiye ederim,positive
İzlediğim en iyi bir kaç iğrenç filmde biri...3/10,negative
ya bırakın iyiymiş izlerken sıkıntıdan patladım bide oscardan falan bahsediyolar hele o müzikler Aman Tanrım!!!!!!,negative
"yapacak hiç ama hiçbişey bulamasanız bile sakın bunu izlemeyin derim. he dersiniz ki hayattan bi beklentim yok, acı çekip sabrımı denemek istiyorum.. işte o zmn ya boğazdan atın kendinizi yada bu filmi ....yinede izlemeyin!!!",negative
ürün fiyatının oldukça üzerinde bir performans gösteriyor. aracımın koltuklarında kusan lekelerini talimata göre uyguladım ve sonuç süper idi.,positive
O kadar farklı bir konusu var ki yani çok şaşırttı beni. Bu senaryo nereden gelmiş akıllarına acaba?,negative
montaj yapan usta bile hayran kaldı.ses vs asla yok ve süper siliş,positive
"True Romance leş gibi Natural Born Killers kokuyor, Natural Born Killers'tan kalan senorya artıkları başarılı oyunucularla bile pek bir şeye benzememiş... Vasatı övmek iyiye haksızlıktır. Gerçek aşk? Yok daha neler, elemanların arasındaki aşk şeysi benim aşk anlayışıma pek uymuyor ayrıcana romantizm ve sevgiyi Tarantino filmlerinde ariyorsanız ben ufak ufak kaçıyim...",negative
64 gb lik bu fiyata alinir,negative
uygun fiyat zamanında teslimat. teşekkürler.,positive
"ürünü almadan önce çok tereddüt ettim.yorumları okurken, herkse saçların kuaförden sonraki haline geldiğini yazıyordu, ancak benim saçımda da aynı etki yaratacağını hiç düşünmemiştim.saçım çok uzun ve gür.hemen kullandım ürünü ve inanılmaz memnun kaldım.gerçekten kuaföre gitmeye gerek kalmadı fön için. önceden de aynı makineyi kullanmadığımdan pişmanım.düz fön isteyen herkese tavsiye ederim",positive
yazma hızı yavaş. yeri geldiğinde 20mb/sn kadar iniyor ama 50 60 mb lara çıkıyor bazı zamanlar. ama genel olarak yavaş diyebilirim,negative
"Filmde hiçbir şey yok. Ne konu, ne komedi hiçbir şey yok. Peki filmden ne öğrendik?Ben de bilmiyorum..Bir daha yapmamayı öğrendik sanırım.Ne yaptığımızı bir bilseydim keşke.",negative
gayet kullanışlı ve şık. tavsiye ederim.,positive
"kasa çapı 4,37 cm dir.",positive
yorumları okudum herkes çok memnun ancak bende koyu kahveyi 4-5 defa denedim gündüzleri güneşin etkisi ile kırmızı gibi görünüyor buda beni çok rahatsız ediyor.yorumları okuduğumda acaba yanlış mı kullanıyorum diye kendi kendime sormadan edemiyorum.,negative
Tek yapmanız gereken sponsorları takip etmek herkes açabildiği kadar fake açsın,positive
Ürün her nekadar kullanılmış olarak gönderilsede ucuz olduğu için uğraşmadım verdiğim puan satıcı içindir,negative
çirkinlik abidesi liboş,negative
"Olumlu yönleri: Fiyat makul gibi ama üzerine 500 ila 700 tl ekleyip lg philips alınabilir  Olumsuz yönleri: Yıl olmuş 2019 sesli komut özelliği hala yok, lg Samsung 55” 4bin küsüre var yerli üretime destek verelim ama kalite yok ucuz malzemeyi getir montajla misliyle sat görüntü kalitesi tatmin edici değil para kolay kazanılmıyor",negative
"bu ürünü alalı neredeyse 1 yıl oldu .hiçbir sıkıntım yok ,bana çok gürültülü gelmiyor ama temizliği çok başarılı .kesinlikle tavsiye ederim",positive
Lütfen okuyun... arkadaşlar ben burda yazılan kötü yorumları okuduğum halde dikkate almadım ve gittim ama inanın hayatımda bu kadar kötü bir filim görmedim.çok ciddi cem yılmaz hayranıyım ama bu filim mahfetti beni.Sakın gitmeyin gidersenizde hakettiği puanı verin ki sizden sonrakiler gitmesin en azından...,negative
bu kadar gzl bi konu ancak bu kdr iğrenç bir şekilde işlenebilirdi bi iki sahne dışında gerçekten işe yaramaz !!!!,negative
fiyat olarak birşey söylemek zor. marka olarak maalesef ürünlerini biraz pahalı satıyor. diğer yönlerden oldukça başarılı. gaz oluşumunu bariz şekilde azalttı. başka biberon ile kıyasladım daha az gaz yapıyor. sanırım emziğin yapısı ile ilgili bir durum. bütçe yönünden sıkıntı yoksa alınabilir,positive
vasatttt...ızlemeyın arkadaslar bence.su ana kadar ızledığım en sacma ucak fılmı.102 daha fazla etmezzz.,negative
izlediim günü hatırladım simdi..dijeq fasla bi söz yoq..derinden vuran bir film!!!,positive
"sipariş verdim ertesi gün elimde oldu. kahveyi hızlı ve bol köpüklü olarak yapıyor, çok memnun kaldım.",positive
hayatımda böyle abuk bi film izlemedim. filmi çok izlemek istiyordum ama hayal kırıklığını bu kada acı yaşayacğımı bilmiyordum. 3D bu kadar mı kötü olur. bi senaryo bu kadar mı abuk olur. paranıza yazık etmeyin.,negative
biz de onu diyoruz maçı tatil ettiyse neden oynayıyor diye ama öküz yüne öküz hoş laf yine eşşek,negative
ayakkabiliğa i̇hi̇ti̇yacim olsa yi̇ne bu ürünü alirdim.,positive
"bu ürün lastik parlatıcının geldiği son noktadır. ""adamlar yapmış"" dedirtecek performansa sahiptir. fiyatı diğerlerine göre çok olabilir ancak bu jel ile her hafta bir kere sürseniz bir yıla yakın gidiyor. dolayısıyla aynı sürede sprey veya köpüklere vereceğinizden daha az ödemiş olursunuz.",positive
sanırım daha uzun süre kullanacaktır. teşekkürler hepsiburada.,positive
yapabilceğim en ağır yorumu yapmak isterim ama biraz kaba kaçar sanırım:Pneyse...kısaca sıradan ve sıradanlığın da ötesinde saçma bi şey(!),negative
"gayet başarılı bir ürün çok kaliteli, fiyatıda çok uygun. sipariş verdikten 1 gün sonra elime ulaştı buda hepsiburada.com ayrıcalığı olsa gerek :)",positive
hiç bir yorumu okumadan direk yazıyorum.komik eğlenceli harika 2 saat:) izlenmeli:),positive
yataktan ziyade ürünün hizli gelişi beni şaşırttı... eşimin doğumuna az kaldı yatağın hemen gelmesi gerekti kaygılarım vardı osmaniye de oturuyorum iki günde geldi.. teşekkür ederim hepsiburadaya... yatak biraz kokuyordu havalandırmak lazım bir kaç gün ama gayet güzel görünüyor bakalım kızımız begenecek mi,positive
Fiyatına göre iyi kiple plastik olduğu için diğer modellere göre afif tek sıkıntısı şeffaf kapağı oda çok ince olduğu için yerine takarken bi tarafını kırdım orasına dikkat edin bence taktıktan sonra çıkarmaya uğraşmayın gene kırılıyor,positive
Bir daha hayatım boyunca Quentin Tarantino filmi izlemeyeceğim yemin ediyorum....,negative
satıcı firma dürüst ve hızlı. çok hızlı ve zamanında teslim edildi montajı çok basit. teşekkürler hepsiburada.,positive
"bildiğiniz silikon, kenarları renklendirilmiş, arkası şeffaf, ince, basit bir kılıf.",negative
"iyi...iyi...10/9,5",positive
8 yasındaki oğluma verdim.,negative
bu fiyata ve kaliteli ürün kesinlikle alacak olanlara hiç düşünmeden almalarını tavsiye ederim. firmaya da hızlı kargo için teşekkür ederim.,positive
evde mangal yapmanın en muhteşem yolu,positive
çok kullanıslı görünüyor fakat acayip titriyor ilk kullandıgımda resmen kolum uyustu bir dahada kullanmadım.ssanki asvalt kırma makinesi kullanıyorsunuz titreşim çok rahatsız edici,negative
İçimizdeki satılık kalemşörler,negative
İfsalanmıssın da hic sexy degilsin tatlım kus öldü can cekiserek,negative
bu kadar düşük fiyatı görünce beklentilerimi çok düşük tutarak sipariş ettim ama beklediğimden daha iyi çıktı.,positive
Yönetmen ve senaristler belli ki Quentin Tarantino tarzı senaryo ve yönetimlerden etkilenmişler ve benzeri birşey yapmaya çalışmışlar ama ellerine yüzlerine bulaştırmışlar.,negative
kesinlikle memnun değilim el blender'ı hem çok zor parçalanıyor ve ısınıyor hem de inanilmaz derecede etrafa sıçratıyor.,negative
amanın sen bu tarz filmlerden uzak dur stallone abicim. 4/10,negative
keanu reeves&#39;i matrix serisinden sonra gozumuzden dusmesini saglayan film(!),negative
ya film için tek diğecek şeyim var oda çok sıkıcı olması.Nerdeyse uykum geliyordu.Bİraz da karışık olmasıve ve hiç heyecan olmaması uykum gelecek halini alıyor.Şiddetle tavsiye etmem.Ama inat edip izlemek istiyorum diyorsanız keyif sizin...,negative
"masa ve kitalık bölümü çok küçük,görüntüye bakmayın",negative
Tefal Activflow Pro 1000W Blender Seti Kırmızı siparişimi teslim aldım.Ürün çok kaiteli ve orijinal.Hızlı kargo için'de ayrıca teşekkürler.,positive
"ürün süper hızlı gönderi olmasına rağmen 3.günde elime ulaştı. hepsiburada.com'dan müşteri hizmetleri gecikmeyle ilgili bildirimlerde bulundular. fakat benim için bir sonraki alışverişimi etkileyecek yönde bir deneyim oldu. ürüne gelince ürün yorumlarda da belirtildiği gibi fiyatına göre gayet ideal, kaliteli bir ürün. beğendim.",positive
O kadar abartılacak bir film değil. Bence zaman kaybı. Zaten bir iki ses irkilmesi dışında bir espriside yok. Dabbeden sonra izlediğim en felaket korku filmi.,negative
çok güzel ürün pudra kokusu fazla gelmiyor ama kağıt kalitesi çok iyi selpak en iyisi çok çabuk geldi fiyatıda uygun yanında hediyesi de car çok teşekürlerr,positive
"Yıllarca edepsizlikle bu ülkenin kaymağını yediler. Şimdi zoruna gider tabi. Hükmünüz bitti, pisliğinizde kaybolun",negative
"süper komik vb. yorumları görüp beklentim yüksek mi oldu bilmiyorum ama idare eden bir film,kahkahalara boğulmadım,gülümsedim sadece...fena değil BENce..",negative
ciddi manada çok iyi ve makul fiyat kesinlikle tavsiye ediyorum,positive
Filmin konusunu okumayı sevmem. Film de Uşşak’a daha gelmediği için ne yazık ki yorum yapamayacağım. İlgililere duyurulur.Yahu siz filmleri ne zaman izliyorsunuz hemen de yorum yazıyorsunuz anlayamadım.,negative
"fargo'yu yere göğe sığdıramayan bi sürü film yorumu okudum we konusu da ilginç geldi heyecanla, mutlaka izlemeliyim dedim, ara tara buldum cd sini. film bitti ve ben,hayal kırıklığım ve zaman kaybımla kalakaldım . konu bu kadar güzelken bi film nasıl bu kadar vasat olur, yazık ya yazık..",negative
i̇lk kez bu siteden alışveriş yaptım.diğer 2 ürünüm bir kaç saat içinde kargo hazır olmasına rağmen bu ürün tedarik sürecinde.,negative
ürünü tp linkin diğer ürünlerini kullandığım için almıştım güvenerek fakat cihaz client modda çok kötü çalışıyor.bunu tek bir cihaz için söylemiyorum baka bir yerdende almıştım.ordaki cihazlarda aynı performansı gösterdi geri verdim.client mod kullanacaksanız benden size tavsiye,negative
kisacasi ürün siemens gibi bir markanin degil üretmesi satmasinin bile yanlış oldugu bir ürün bence.,negative
Kargoda hep sorun oldu,negative
bilmiyorum yani benim pek hoşuma gitmedi film. zaten ben oldum olası siyasetle ilgili filmlerden nefret ederim. bunun bazı eğlenceli tarafları vardı belki ama izlemeye değmez gibime geliyor. yine de siz bilirsiniz...,negative
"ürün orjinal olmakla, gayet kibar, güzel ve kullanışlı..daha önce 10400 olanını kullanmakla ağır ve yer kapladığından dolayı bu ürünü tercih ettim. telefonumun yanında elimde dahi rahatlıkla taşıyabilmekle en az 2 defa telefonun şarjını doldurmaktadır. kibar olması, taşınma kolaylığı ve dayanıklılık için kesinlikle  tercih edilebilecek bir ürün..",positive
şık ve güzel bir ürün. tavsiye ederim.,positive
ocean's 12 ocean's 11 in yanından bile geçmedi ama bu film sanki biraz daha iyi olmuş gibi.keşke sadece ocean's 11 kalsaydı devamı çekilmeseydi ama bu gidişle 4. de geliyo galiba.,negative
"makina çok hafif, çok güzel. beklediğimden çok çok iyi çıktı. hepsiburada.com zaten çok güzel bir sistem... kesinlikle tavsiye ederim.",positive
Shyamalan ve wahlberge yakışmıycak bi film zayıf bi senaryo bnce.izleyin ve shyamalan böyle kötü bi filmi nasıl yapmış görün.sadece shyamalanın ismi hatırına 106,negative
sorunsuz kullanıyorum memnunum,positive
"güzel ürün motor sesini azaltıyor, az da olsa çekişte  fark ediyor.",positive
benzeri özelliklere sahip telefonlarla kıyaslandığında çok daha foksiyonelbir telefon.dokunmatiği çok iyi ihtiyaçları fazlasıyla karşılayabilecek nitelikte .bu telefonu almayı düşünenlere kesinlikle tavsiye edbileceğim bir telefon,positive
6 aydır kullanıyoruz gayet iyi,positive
rezalettek anlamıyla rezalet şikayetine bile vakit harcamama değmez    o kadarını derim ancak personel rezalaet yemekler eh yer yok masada restoranda,negative
tavsiye derim kesinlikle alin mahkemeye fazla para vermek anlamsız. şimdi kardeşime ve babama da siparis verdim.,positive
kullanamadım kiiiiiiiiiii,negative
ürün cildi geriyor bu hoş bi şey ayrıca içerik yönüyle de sağlıklı bi ürün ancak kuru ciltler için nemlendirme yönüyle zayıf kalıyor,negative
akıllı saat almak isteyenler düşünsün derim. fiyatı oldukça uygun. mağazalardan 200 lira daha ucuza aldım,positive
bu siteden alışveriş yapalı yaklasık 18 ay oldu sayısızca ürün aldım hepsinden memnunum bu ürüne de gelince ari̇el kalitesi tartısılmaz birde piyasaya göre ucuz ve kargoda bedava olunca kaçırılmayacak alışveriş derim hepsiburada ailesine tesekkürler....,positive
bence inandırıcı olup olmaması değil problem; tabiki de inandırıcı değil ve tabi ki de inanmak gerekmiyor... ama şu çok net ki.. izlediğimiz onca güzel savaş filmlerinden sonra sadece gereksiz.. olsa da olur olmasa da,negative
gigaset kalitesi tartışılmaz. markaya güvenerek aldım. en ufak bir cızırtı yok. ayrıca içindeki ninni ve ebeveyn alıcısından odadaki sıcaklık ve nem oranını görebilmek çok işe yarıyor. tavsiye edilir,positive
"öncelikle hızlı kargo için teşekkürler, bulaşıkları temiz yıkıyor, leke bırakmıyor. fiyatı çok abartı uygun olmamakla birlikte rahat alışveriş, kapınıza teslim diye düşünürsek uygun diyebiliriz, yalnız bana kase gelmedi, ya kampanyası değildi ya unutuldu bilmiyorum...",positive
25 şubat 2011 mie amerikada 25 aralıkta gösterime giriyor.coen kardeşlerin filminin 2 ay geç gösterime girdiği bi ülkede yaşamak üzüntü verici,negative
herkese tavsiye ediyorum. okunması gereken bir kitap,positive
"diş aralarının temizliği için çok güzel bir  alet.fakat ip  eczaneden aldığımız gibi yumuşak değil,sanki balık misinası gibi.diş etini neredeyse kesecek.dikkatli kullanmak lazım ya da ipi kaliteli bir ürün bulmak gerekiyor.",negative
teşekkür ederim. her şey çabuk oldu.mutluyum...,positive
cihazı aldım 2günde diyarbakıra geldi. cihaz söylenenin aksine 3 oyun ile geldi. keşke 3. oyunu söyleseydiler ben onuda almıştım. gayet güzel.,positive
kötü...cok yapay.. görüntüler cok kötü..cok abartılı.. izlemek zaman kaybı.. filmin tek güzel tarafı milla,negative
"Film akıcılık,amaç unsurlarından hiçbirini arındırmıyor.Görsel efektler ve Charlize için izlenilebilir olsa da izlemeyin derim.",negative
"pil interneti az kullanıyorsanız abartısız net iki gün gidiyor.üstelik çabuk şarj oluyor.kamera zom 4x, 2x değil.ekranda kullanırken kolay kolay parmak izi olmadı ve henüz küçük çizikler de oluşmadı.",positive
hayatımda izlediğim en berbat filmdi içindeki yabancıyı geçmesine çok üzüldüm o film daha yukarlarda bi yeri hakediyo bir numara o olmalıydı,negative
gereksız vasat ve sıradan bı fılme benzıyo Zeynebin sekiz günü gıbıyse harbıden yandık kı benzıyo :D,negative
